Komponente;Zusatztext;Bezeichnung;Bezeichner
Melder 88/9;1.OG WB HWR RA 5014;M/88/9;
Melder 88/8;1.OG WB Bewohner RA 505;M/88/8;
Melder 88/10;1.OG WB Abstellra. RA 525;M/88/10;
Melder 88/7;1.OG WB Bewohner RA 506;M/88/7;
Melder 88/3;1.OG WB Flur RA 517;M/88/3;
Melder 88/6;1.OG WB Bewohner RA 507;M/88/6;
Melder 88/2;1.OG WB Flur RA 517;M/88/2;
Melder 88/5;1.OG WB Bewohner RA 508;M/88/5;
Melder 88/4;1.OG WB Bewohner RA 509;M/88/4;
Meldergruppe 89;1.OG Johanneshaus TH;G/89;
Melder 89/1;1.OG TH RA 526;M/89/1;
Meldergruppe 90;1.OG Verbingungsgang ;G/90;
Melder 90/1;1.OG Verbindungsgang;M/90/1;
Melder 90/2;1.OG Verbindungsgang;M/90/2;
Melder 90/3;1.OG Verbindungsgang;M/90/3;
Melder 90/4;1.OG Verbindungsgang;M/90/4;
Meldergruppe 91;HFM 2.OG Johanneshaus ;G/91;
Melder 91/1;HFM 2.OG TH Flur RA 704;M/91/1;
Meldergruppe 92;2.OG Johanneshaus TH;G/92;
Melder 92/3;2.OG Dachraum RA 707;M/92/3;
Melder 92/1;2.OG TH Flur RA 704;M/92/1;
Melder 92/2;2.OG Dachraum RA 706;M/92/2;
Meldergruppe 93;2.OG Johanneshaus ;G/93;
Melder 93/1;Aufzugsschacht;M/93/1;
Meldergruppe 94;2.OG Johanneshaus ;G/94;
Melder 94/3;2.OG Besprechung RA 702;M/94/3;
Melder 94/1;2.OG Flur RA 703;M/94/1;
Melder 94/2;2.OG Büro RA 701;M/94/2;
Meldergruppe 95;2.OG Johanneshaus ;G/95;
Melder 95/1;2.OG Abstellraum RA 708;M/95/1;
Meldergruppe 96;2.OG Johanneshaus;G/96;
Melder 96/5;2.OG Dachboden;M/96/5;
Melder 96/4;2.OG Dachboden;M/96/4;
Melder 96/3;2.OG Dachboden;M/96/3;
Melder 96/2;2.OG Dachboden;M/96/2;
Melder 96/1;2.OG Dachboden;M/96/1;
Meldergruppe 99;Koppler Aufzugsteuerung;G/99;
Melder 99/1;Koppler neb. Steuerung KG;M/99/1;
Melder 99/2;Koppler neb. Steuerung KG;M/99/2;
Melder 99/4;Koppler neb. Steuerung KG;M/99/4;
Melder 99/3;Koppler neb. Steuerung KG;M/99/3;
Meldergruppe 201;Kloster EG Flur DKM;G/201;
Melder 201/1;Kloster EG Flur DKM;M/201/1;
Meldergruppe 202;Kloster1.EG Flur DKM;G/202;
Melder 202/1;Kloster EG Flur DKM;M/202/1;
Meldergruppe 203;Kloster EG Flur;G/203;
Melder 203/2;Kloster EG Flur;M/203/2;
Melder 203/1;Kloster EG Flur;M/203/1;
Meldergruppe 204;Kloster Erdgeschoss;G/204;
Melder 204/4;Kloster HAR;M/204/4;
Melder 204/3;Kloster Noviziat;M/204/3;
Melder 204/2;Kloster Noviziat;M/204/2;
Melder 204/1;Kloster Büro;M/204/1;
Meldergruppe 205;Kloster Erdgeschoss;G/205;
Melder 205/1;Kloster EG Küche;M/205/1;
Meldergruppe 206;Kloster Erdgeschoss;G/206;
Melder 206/1;Kloster Speiseraum;M/206/1;
Melder 206/2;Kloster Speiseraum;M/206/2;
Melder 206/3;Kloster EG Wohnzimmer;M/206/3;
Melder 206/4;Kloster EG Wohnzimmer;M/206/4;
Melder 206/5;Kloster EG Wohnzimmer;M/206/5;
Meldergruppe 207;Kloster 1.OG Flur;G/207;
Melder 207/1;Kloster 1.OG Flur;M/207/1;
Melder 207/4;Kloster 1.OG Flur;M/207/4;
Melder 207/2;Kloster 1.OG Flur;M/207/2;
Melder 207/3;Kloster 1.OG Flur;M/207/3;
Meldergruppe 208;Kloster 1.OG ;G/208;
Melder 208/3;Kloster 1.OG Bügelzimmer;M/208/3;
Melder 208/2;Kloster 1.OG Bügelzimmer;M/208/2;
Melder 208/1;Kloster 1 OG Technik;M/208/1;
Meldergruppe 209;Kloster 1.OG Appartements;G/209;
Melder 209/1;Kloster 1.OG Appartements;M/209/1;
Melder 209/2;Kloster 1.OG Appartements;M/209/2;
Melder 209/3;Kloster 1.OG Appartements;M/209/3;
Melder 209/4;Kloster 1.OG Appartements;M/209/4;
Melder 209/5;Kloster 1.OG Appartements;M/209/5;
Melder 209/6;Kloster 1.OG Appartements;M/209/6;
Meldergruppe 210;Kloster 1.OG ;G/210;
Melder 210/3;Kloster Appartments;M/210/3;
Melder 210/1;Kloster 1.OG Kapelle;M/210/1;
Melder 210/2;Kloster 1.OG Kapelle;M/210/2;
Melder 210/4;Kloster Appartments;M/210/4;
Meldergruppe 211;Kloster Eg Flur;G/211;
Melder 211/1;Kloster EG Flur;M/211/1;
Melder 211/2;Kloster EG Flur;M/211/2;
Melder 211/4;Kloster EG Flur;M/211/4;
Melder 211/3;Kloster EG Flur;M/211/3;
Meldergruppe 212;Kloster  EG Räume ;G/212;
Melder 212/1;Kloster  EG Räume ;M/212/1;
Melder 212/2;Kloster  EG Räume ;M/212/2;
Melder 212/3;Kloster  EG Räume ;M/212/3;
Melder 212/4;Kloster  EG Räume ;M/212/4;
Melder 212/5;Kloster  EG Räume ;M/212/5;
Melder 212/6;Kloster  EG Räume ;M/212/6;
Meldergruppe 214;Kloster Treppenhaus OG;G/214;
Melder 214/1;Kloster 1.OG Flur;M/214/1;
Melder 214/2;Kloster 1.OG Flur;M/214/2;
Meldergruppe 215;Kloster Treppenhaus EG;G/215;
Melder 215/2;Kloster EG Flur;M/215/2;
Melder 215/1;Kloster EG Flur;M/215/1;
Meldergruppe 216;Kloster OG Flur;G/216;
Melder 216/1;Kloster 1.OG Flur;M/216/1;
Melder 216/2;Kloster 1.OG Flur;M/216/2;
Melder 216/4;Kloster 1.OG Flur;M/216/4;
Melder 216/3;Kloster 1.OG Flur;M/216/3;
