Komponente;Zusatztext;Bezeichnung;Bezeichner
Zentrale 1;Laurentiushaus;Z/1;
Primärleitung 124;;P/124;
Primärleitung 121;;P/121;
Primärleitung 123;;P/123;
Primärleitung 131;Ltg 131 BA 1 Links;P/131;
Primärleitung 132;Ltg 132 BA2 Rechts;P/132;
Primärleitung 133;Ltg 133 BA 3 Mitte;P/133;
Meldergruppe 1;Freischaltelement;G/1;
Meldergruppe 2;EG BA3 Mitte;G/2;
Melder 2/3;EG RA505;M/2/3;
Melder 2/2;EG RA506;M/2/2;
Melder 2/1;EG RA506 Schrank BMZ;M/2/1;
Meldergruppe 3;HFM EG BA3 Mitte;G/3;
Melder 3/1;EG RA505;M/3/1;
Meldergruppe 4;HFM EG BA3 Mitte;G/4;
Melder 4/1;EG RA512;M/4/1;
Melder 4/2;EG RA 512;M/4/2;
Meldergruppe 5;EG BA3 Mitte;G/5;
Melder 5/1;EG RA512;M/5/1;
Melder 5/7;EG RA 501;M/5/7;
Melder 5/6;EG RA 502;M/5/6;
Melder 5/3;EG RA512;M/5/3;
Melder 5/2;EG RA512;M/5/2;
Melder 5/5;EG RA512;M/5/5;
Melder 5/4;EG RA512;M/5/4;
Meldergruppe 6;EG BA3 Mitte;G/6;
Melder 6/2;EG RA501;M/6/2;
Melder 6/1;EG RA501;M/6/1;
Melder 6/3;EG RA501;M/6/3;
Melder 6/4;EG RA501;M/6/4;
Meldergruppe 7;HFM EG BA3 Mitte;G/7;
Melder 7/1;EG RA501;M/7/1;
Melder 7/2;EG RA501;M/7/2;
Meldergruppe 8;EG BA3 Mitte;G/8;
Melder 8/1;EG RA001;M/8/1;
Melder 8/2;EG RA504;M/8/2;
Meldergruppe 9;HFM EG BA3 Mitte;G/9;
Melder 9/1;EG RA001;M/9/1;
Meldergruppe 10;HFM EG BA2 Rechts;G/10;
Melder 10/1;EG RA215;M/10/1;
Meldergruppe 11;EG BA2 Rechts;G/11;
Melder 11/2;EG RA215 Flur;M/11/2;
Melder 11/1;EG RA215 Flur;M/11/1;
Meldergruppe 12;EG BA2 Rechts;G/12;
Melder 12/1;EG RA214;M/12/1;
Melder 12/4;EG RA521;M/12/4;
Melder 12/2;EG RA201;M/12/2;
Melder 12/3;EG RA202;M/12/3;
Meldergruppe 13;EG BA2 Rechts;G/13;
Melder 13/1;EG RA207;M/13/1;
Melder 13/2;EG RA208;M/13/2;
Melder 13/3;EG RA209;M/13/3;
Melder 13/4;EG RA210;M/13/4;
Meldergruppe 14;HFM EG BA2 Rechts;G/14;
Melder 14/2;EG RA211;M/14/2;
Melder 14/1;EG RA211;M/14/1;
Meldergruppe 15;EG ZWD BA2 Rechts;G/15;
Melder 15/1;EG RA 213;M/15/1;
Meldergruppe 16;EG BA2 Rechts;G/16;
Melder 16/3;EG RA211;M/16/3;
Melder 16/4;EG RA211;M/16/4;
Melder 16/6;EG RA206;M/16/6;
Melder 16/7;EG RA205;M/16/7;
Melder 16/8;EG RA204;M/16/8;
Melder 16/9;EG RA203;M/16/9;
Melder 16/5;EG RA211;M/16/5;
Melder 16/2;EG RA212;M/16/2;
Melder 16/1;EG RA213;M/16/1;
Meldergruppe 17;EG BA1 Links;G/17;
Melder 17/6;EG RA113;M/17/6;
Melder 17/5;EG RA112;M/17/5;
Melder 17/4;EG RA102;M/17/4;
Melder 17/3;EG RA101;M/17/3;
Melder 17/1;EG RA511;M/17/1;
Melder 17/2;EG RA114;M/17/2;
Meldergruppe 18;HFM EG BA1 Links;G/18;
Melder 18/1;EG RA115 Flur;M/18/1;
Meldergruppe 19;EG BA 1 Links;G/19;
Melder 19/1;EG RA115 Flur;M/19/1;
Melder 19/3;EG RA110;M/19/3;
Melder 19/4;EG RA109;M/19/4;
Melder 19/5;EG RA108;M/19/5;
Melder 19/6;EG RA107;M/19/6;
Melder 19/2;EG RA115 Flur;M/19/2;
Meldergruppe 20;EG ZWD BA1  Links;G/20;
Melder 20/1;EG RA113 ZWD;M/20/1;
Meldergruppe 21;HFM EG BA1 Links;G/21;
Melder 21/1;EG RA111;M/21/1;
Melder 21/2;EG RA 111;M/21/2;
Meldergruppe 22;EG BA1 Links;G/22;
Melder 22/1;EG RA111;M/22/1;
Melder 22/2;EG RA111;M/22/2;
Melder 22/7;EG RA106;M/22/7;
Melder 22/6;EG RA105;M/22/6;
Melder 22/5;EG RA104;M/22/5;
Melder 22/4;EG RA103;M/22/4;
Melder 22/3;EG RA111;M/22/3;
Meldergruppe 23;HFM OG BA3 Mitte;G/23;
Melder 23/1;OG RA609;M/23/1;
Meldergruppe 24;OG BA3 Mitte;G/24;
Melder 24/2;OG RA643;M/24/2;
Melder 24/3;OG RA609;M/24/3;
Melder 24/1;OG RA642;M/24/1;
Meldergruppe 25;HFM OG BA3 Mitte;G/25;
Melder 25/1;OG RA632;M/25/1;
Meldergruppe 26;OG BA3 Mitte;G/26;
Melder 26/1;OG RA632;M/26/1;
Melder 26/2;OG RA632;M/26/2;
Meldergruppe 27;OG BA3 Mitte;G/27;
Melder 27/1;OG RA601;M/27/1;
Meldergruppe 28;OG BA3 Mitte;G/28;
Melder 28/1;OG RA602;M/28/1;
Melder 28/2;OG RA603;M/28/2;
Melder 28/5;OG RA606;M/28/5;
Melder 28/3;OG RA604;M/28/3;
Melder 28/4;OG RA605;M/28/4;
Meldergruppe 29;OG BA3 Mitte;G/29;
Melder 29/1;OG RA001;M/29/1;
Meldergruppe 30;OG BA2 Rechts;G/30;
Melder 30/7;OG RA402;M/30/7;
Melder 30/6;OG RA401;M/30/6;
Melder 30/10;OG RA641;M/30/10;
Melder 30/5;OG RA414;M/30/5;
Melder 30/9;OG RA415 Flur;M/30/9;
Melder 30/4;OG RA410;M/30/4;
Melder 30/3;OG RA409;M/30/3;
Melder 30/8;OG RA415 Flur;M/30/8;
Melder 30/2;OG RA408;M/30/2;
Melder 30/1;OG RA407;M/30/1;
Meldergruppe 31;OG ZWD BA2 Rechts;G/31;
Melder 31/1;OG RA413;M/31/1;
Meldergruppe 32;OG BA2 Rechts;G/32;
Melder 32/1;OG RA413;M/32/1;
Melder 32/9;OG RA412;M/32/9;
Melder 32/4;OG RA411;M/32/4;
Melder 32/3;OG RA411;M/32/3;
Melder 32/8;OG RA403;M/32/8;
Melder 32/7;OG RA404;M/32/7;
Melder 32/6;OG RA405;M/32/6;
Melder 32/5;OG RA406;M/32/5;
Melder 32/2;OG RA411;M/32/2;
Meldergruppe 33;HFM OG BA2 Rechts;G/33;
Melder 33/3;OG RA415;M/33/3;
Melder 33/2;OG RA411;M/33/2;
Melder 33/1;OG RA411;M/33/1;
Meldergruppe 34;OG BA 1 Links;G/34;
Melder 34/1;OG RA601 Flur;M/34/1;
Melder 34/3;OG RA314;M/34/3;
Melder 34/2;OG RA331;M/34/2;
Meldergruppe 35;HFM OG BA1 Links;G/35;
Melder 35/1;OG RA315;M/35/1;
Meldergruppe 36;OG BA 1 Links;G/36;
Melder 36/5;OG RA302;M/36/5;
Melder 36/6;OG RA301;M/36/6;
Melder 36/7;OG RA310;M/36/7;
Melder 36/1;OG RA309;M/36/1;
Melder 36/4;OG RA315 Flur;M/36/4;
Melder 36/2;OG RA308;M/36/2;
Melder 36/3;OG RA307;M/36/3;
Meldergruppe 37;OG ZWD BA1 Links;G/37;
Melder 37/1;OG RA313;M/37/1;
Meldergruppe 38;HFM OG BA1 Links;G/38;
Melder 38/2;OG RA311;M/38/2;
Melder 38/1;OG RA311;M/38/1;
Meldergruppe 39;OG BA 1 Links;G/39;
Melder 39/9;OG RA313;M/39/9;
Melder 39/4;OG RA312;M/39/4;
Melder 39/1;OG RA311;M/39/1;
Melder 39/5;OG RA306;M/39/5;
Melder 39/6;OG RA305;M/39/6;
Melder 39/7;OG RA304;M/39/7;
Melder 39/8;OG RA303;M/39/8;
Melder 39/2;OG RA311;M/39/2;
Melder 39/3;OG RA311;M/39/3;
Meldergruppe 40;HFM OG BA3 Mitte;G/40;
Melder 40/1;OG RA601;M/40/1;
Meldergruppe 41;DG BA3 Mitte;G/41;
Melder 41/1;DG RA001;M/41/1;
Meldergruppe 42;HFM DG BA3 Mitte;G/42;
Melder 42/1;DG RA001;M/42/1;
Meldergruppe 43;Aufzugsschacht;G/43;
Melder 43/1;DG RA002;M/43/1;
Meldergruppe 44;DG Wohnung 6 Rechts;G/44;
Melder 44/3;DG Wohnung 6 Rechts;M/44/3;
Melder 44/4;DG Wohnung 6 Rechts;M/44/4;
Melder 44/2;DG Wohnung 6 Rechts;M/44/2;
Melder 44/1;DG Wohnung 6 Rechts;M/44/1;
Meldergruppe 45;DG Wohnung 7 Rechts;G/45;
Melder 45/2;DG Wohnung 7 Rechts;M/45/2;
Melder 45/4;DG Wohnung 7 Rechts;M/45/4;
Melder 45/3;DG Wohnung 7 Rechts;M/45/3;
Melder 45/1;DG Wohnung 7 Rechts;M/45/1;
Meldergruppe 46;DG Wohnung 8 Rechts;G/46;
Melder 46/1;DG Wohnung 8 Rechts;M/46/1;
Melder 46/3;DG Wohnung 8 Rechts;M/46/3;
Melder 46/2;DG Wohnung 8 Rechts;M/46/2;
Melder 46/4;DG Wohnung 8 Rechts;M/46/4;
Meldergruppe 47;DG Wohnung 9 Rechts;G/47;
Melder 47/1;DG Wohnung 9 Rechts;M/47/1;
Melder 47/4;DG Wohnung 9 Rechts;M/47/4;
Melder 47/2;DG Wohnung 9 Rechts;M/47/2;
