Komponente,Zusatztext,Bezeichnung,Bezeichner
Zentrale 1;Laurentiushaus;Z/1;
Meldergruppe 1064;;S/1064;Haus2.1064
Meldergruppe 1065;;S/1065;Haus2.1065
Meldergruppe 1066;;S/1066;Haus2.1066
Meldergruppe 1067;;S/1067;Haus2.1067
Meldergruppe 1068;;S/1068;Haus2.1068
Meldergruppe 1069;;S/1069;Haus2.1069
Meldergruppe 1070;;S/1070;Haus2.1070
Meldergruppe 1071;;S/1071;Haus2.1071
Meldergruppe 1072;;S/1072;Haus2.1072
Meldergruppe 1073;;S/1073;Haus2.1073
Meldergruppe 1074;;S/1074;Haus2.1074
Meldergruppe 1075;;S/1075;Haus2.1075
Meldergruppe 1076;;S/1076;Haus2.1076
Meldergruppe 1077;;S/1077;Haus2.1077
Meldergruppe 1078;;S/1078;Haus2.1078
Meldergruppe 1079;;S/1079;Haus2.1079
Meldergruppe 1080;;S/1080;Haus2.1080
Meldergruppe 1081;;S/1081;Haus2.1081
Meldergruppe 1082;;S/1082;Haus2.1082
Meldergruppe 1083;;S/1083;Haus2.1083
Meldergruppe 1084;;S/1084;Haus2.1084
Meldergruppe 1085;;S/1085;Haus2.1085
Meldergruppe 1086;;S/1086;Haus2.1086
Meldergruppe 1087;;S/1087;Haus2.1087
Meldergruppe 1088;;S/1088;Haus2.1088
Meldergruppe 1089;;S/1089;Haus2.1089
Meldergruppe 1090;;S/1090;Haus2.1090
Meldergruppe 1091;;S/1091;Haus2.1091
Meldergruppe 1092;;S/1092;Haus2.1092
Meldergruppe 1093;;S/1093;Haus2.1093
Meldergruppe 1094;;S/1094;Haus2.1094
Meldergruppe 1095;;S/1095;Haus2.1095
Meldergruppe 1096;;S/1096;Haus2.1096
Meldergruppe 1097;;S/1097;Haus2.1097
Meldergruppe 1098;;S/1098;Haus2.1098
Meldergruppe 1099;;S/1099;Haus2.1099
Meldergruppe 1100;;S/1100;Haus2.1100
Meldergruppe 1101;;S/1101;Haus2.1101
Meldergruppe 1102;;S/1102;Haus2.1102
Meldergruppe 1103;;S/1103;Haus2.1103
Meldergruppe 1104;;S/1104;Haus2.1104
Meldergruppe 1105;;S/1105;Haus2.1105
Meldergruppe 1106;;S/1106;Haus2.1106
Meldergruppe 1107;;S/1107;Haus2.1107
Meldergruppe 1108;;S/1108;Haus2.1108
Meldergruppe 1109;;S/1109;Haus2.1109
Meldergruppe 1110;;S/1110;Haus2.1110
Meldergruppe 1111;;S/1111;Haus2.1111
Meldergruppe 1112;;S/1112;Haus2.1112
Meldergruppe 1113;;S/1113;Haus2.1113
Meldergruppe 1114;;S/1114;Haus2.1114
Meldergruppe 1115;;S/1115;Haus2.1115
Meldergruppe 1116;;S/1116;Haus2.1116
Meldergruppe 1117;;S/1117;Haus2.1117
Meldergruppe 1118;;S/1118;Haus2.1118
Meldergruppe 1119;;S/1119;Haus2.1119
Meldergruppe 1120;;S/1120;Haus2.1120
Meldergruppe 1121;;S/1121;Haus2.1121
Meldergruppe 1122;;S/1122;Haus2.1122
Meldergruppe 1123;;S/1123;Haus2.1123
Meldergruppe 1124;;S/1124;Haus2.1124
Meldergruppe 1125;;S/1125;Haus2.1125
Meldergruppe 1126;;S/1126;Haus2.1126
Meldergruppe 1127;;S/1127;Haus2.1127
Meldergruppe 1128;;S/1128;Haus2.1128
Meldergruppe 1129;;S/1129;Haus2.1129
Meldergruppe 1130;;S/1130;Haus2.1130
Meldergruppe 1131;;S/1131;Haus2.1131
Meldergruppe 1132;;S/1132;Haus2.1132
Meldergruppe 1133;;S/1133;Haus2.1133
Meldergruppe 1134;;S/1134;Haus2.1134
Meldergruppe 1135;;S/1135;Haus2.1135
Meldergruppe 1136;;S/1136;Haus2.1136
Meldergruppe 1137;;S/1137;Haus2.1137
Meldergruppe 1138;;S/1138;Haus2.1138
Meldergruppe 1139;;S/1139;Haus2.1139
Meldergruppe 1140;;S/1140;Haus2.1140
Meldergruppe 1141;;S/1141;Haus2.1141
Meldergruppe 1142;;S/1142;Haus2.1142
Meldergruppe 1143;;S/1143;Haus2.1143
Meldergruppe 1144;;S/1144;Haus2.1144
Meldergruppe 1145;;S/1145;Haus2.1145
Meldergruppe 1146;;S/1146;Haus2.1146
Meldergruppe 1147;;S/1147;Haus2.1147
Meldergruppe 1148;;S/1148;Haus2.1148
Meldergruppe 1149;;S/1149;Haus2.1149
Meldergruppe 1150;;S/1150;Haus2.1150
Meldergruppe 1151;;S/1151;Haus2.1151
Meldergruppe 1152;;S/1152;Haus2.1152
Meldergruppe 1153;;S/1153;Haus2.1153
Meldergruppe 1154;;S/1154;Haus2.1154
Meldergruppe 1155;;S/1155;Haus2.1155
Meldergruppe 1156;;S/1156;Haus2.1156
Meldergruppe 1157;;S/1157;Haus2.1157
Meldergruppe 1158;;S/1158;Haus2.1158
Meldergruppe 1159;;S/1159;Haus2.1159
Meldergruppe 1160;;S/1160;Haus2.1160
Meldergruppe 1161;;S/1161;Haus2.1161
Meldergruppe 1162;;S/1162;Haus2.1162
Meldergruppe 1163;;S/1163;Haus2.1163
Meldergruppe 1164;;S/1164;Haus2.1164
Meldergruppe 1165;;S/1165;Haus2.1165
Meldergruppe 1166;;S/1166;Haus2.1166
Meldergruppe 1167;;S/1167;Haus2.1167
Meldergruppe 1168;;S/1168;Haus2.1168
Meldergruppe 1169;;S/1169;Haus2.1169
Meldergruppe 1170;;S/1170;Haus2.1170
Meldergruppe 1171;;S/1171;Haus2.1171
Meldergruppe 1172;;S/1172;Haus2.1172
Meldergruppe 1173;;S/1173;Haus2.1173
Meldergruppe 1174;;S/1174;Haus2.1174
Meldergruppe 1175;;S/1175;Haus2.1175
Meldergruppe 1176;;S/1176;Haus2.1176
Meldergruppe 1177;;S/1177;Haus2.1177
Meldergruppe 1178;;S/1178;Haus2.1178
Meldergruppe 1179;;S/1179;Haus2.1179
Meldergruppe 1180;;S/1180;Haus2.1180
Meldergruppe 1181;;S/1181;Haus2.1181
Meldergruppe 1182;;S/1182;Haus2.1182
Meldergruppe 1183;;S/1183;Haus2.1183
Meldergruppe 1184;;S/1184;Haus2.1184
Meldergruppe 1185;;S/1185;Haus2.1185
Meldergruppe 1186;;S/1186;Haus2.1186
Meldergruppe 1187;;S/1187;Haus2.1187
Meldergruppe 1188;;S/1188;Haus2.1188
Meldergruppe 1189;;S/1189;Haus2.1189
Meldergruppe 1190;;S/1190;Haus2.1190
Meldergruppe 1191;;S/1191;Haus2.1191
Meldergruppe 1192;;S/1192;Haus2.1192
Meldergruppe 1193;;S/1193;Haus2.1193
Meldergruppe 1194;;S/1194;Haus2.1194
Meldergruppe 1195;;S/1195;Haus2.1195
Meldergruppe 1196;;S/1196;Haus2.1196
Meldergruppe 1197;;S/1197;Haus2.1197
Meldergruppe 1198;;S/1198;Haus2.1198
Meldergruppe 1199;;S/1199;Haus2.1199
Meldergruppe 1200;;S/1200;Haus2.1200
Meldergruppe 1201;;S/1201;Haus2.1201
Meldergruppe 1202;;S/1202;Haus2.1202
Meldergruppe 1203;;S/1203;Haus2.1203
Meldergruppe 1204;;S/1204;Haus2.1204
Meldergruppe 1205;;S/1205;Haus2.1205
Meldergruppe 1206;;S/1206;Haus2.1206
Meldergruppe 1207;;S/1207;Haus2.1207
Meldergruppe 1208;;S/1208;Haus2.1208
Meldergruppe 1209;;S/1209;Haus2.1209
Meldergruppe 1210;;S/1210;Haus2.1210
Meldergruppe 1211;;S/1211;Haus2.1211
Meldergruppe 1212;;S/1212;Haus2.1212
Meldergruppe 1213;;S/1213;Haus2.1213
Meldergruppe 1214;;S/1214;Haus2.1214
Meldergruppe 1215;;S/1215;Haus2.1215
Meldergruppe 1216;;S/1216;Haus2.1216
Meldergruppe 1217;;S/1217;Haus2.1217
Meldergruppe 1218;;S/1218;Haus2.1218
Meldergruppe 1219;;S/1219;Haus2.1219
Meldergruppe 1220;;S/1220;Haus2.1220
Meldergruppe 1221;;S/1221;Haus2.1221
Meldergruppe 1222;;S/1222;Haus2.1222
Meldergruppe 1223;;S/1223;Haus2.1223
Meldergruppe 1224;;S/1224;Haus2.1224
Meldergruppe 1225;;S/1225;Haus2.1225
Meldergruppe 1226;;S/1226;Haus2.1226
Meldergruppe 1227;;S/1227;Haus2.1227
Meldergruppe 1228;;S/1228;Haus2.1228
Meldergruppe 1229;;S/1229;Haus2.1229
Meldergruppe 1230;;S/1230;Haus2.1230
Meldergruppe 1231;;S/1231;Haus2.1231
Meldergruppe 1232;;S/1232;Haus2.1232
Meldergruppe 1233;;S/1233;Haus2.1233
Meldergruppe 1234;;S/1234;Haus2.1234
Meldergruppe 1235;;S/1235;Haus2.1235
Meldergruppe 1236;;S/1236;Haus2.1236
Meldergruppe 1237;;S/1237;Haus2.1237
Meldergruppe 1238;;S/1238;Haus2.1238
Meldergruppe 1239;;S/1239;Haus2.1239
Meldergruppe 1240;;S/1240;Haus2.1240
Meldergruppe 1241;;S/1241;Haus2.1241
Meldergruppe 1242;;S/1242;Haus2.1242
Meldergruppe 1243;;S/1243;Haus2.1243
Meldergruppe 1244;;S/1244;Haus2.1244
Meldergruppe 1245;;S/1245;Haus2.1245
Meldergruppe 1246;;S/1246;Haus2.1246
Meldergruppe 1247;;S/1247;Haus2.1247
Meldergruppe 1248;;S/1248;Haus2.1248
Meldergruppe 1249;;S/1249;Haus2.1249
Meldergruppe 1250;;S/1250;Haus2.1250
Meldergruppe 1251;;S/1251;Haus2.1251
Meldergruppe 1252;;S/1252;Haus2.1252
Meldergruppe 1253;;S/1253;Haus2.1253
Meldergruppe 1254;;S/1254;Haus2.1254
Meldergruppe 1255;;S/1255;Haus2.1255
Meldergruppe 1256;;S/1256;Haus2.1256
Meldergruppe 1257;;S/1257;Haus2.1257
Meldergruppe 1258;;S/1258;Haus2.1258
Meldergruppe 1259;;S/1259;Haus2.1259
Meldergruppe 1260;;S/1260;Haus2.1260
Meldergruppe 1261;;S/1261;Haus2.1261
Meldergruppe 1262;;S/1262;Haus2.1262
Meldergruppe 1263;;S/1263;Haus2.1263
Meldergruppe 1264;;S/1264;Haus2.1264
Meldergruppe 1265;;S/1265;Haus2.1265
Meldergruppe 1266;;S/1266;Haus2.1266
Meldergruppe 1267;;S/1267;Haus2.1267
Meldergruppe 1268;;S/1268;Haus2.1268
Meldergruppe 1269;;S/1269;Haus2.1269
